1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,3,4,5,3,3,3,5,3,4,5,3,3,3,3,3,4,6,1
1,7,3,3,3,3,4,3,3,3,3,3,3,4,3,3,5,3,6,1
1,7,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,6,1
1,8,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
1,2,3,4,5,3,3,3,3,3,4,5,3,3,3,3,3,4,5,3
1,7,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3
1,7,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4
1,7,4,3,3,3,3,5,3,4,5,3,3,3,5,3,4,5,3,3
1,9,10,10,10,11,10,10,12,13,3,3,3,3,3,3,3,3,14,11
1,1,1,1,1,1,1,1,1,7,3,4,3,5,3,3,3,3,15,1
1,8,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,6,1
1,2,3,4,5,3,3,14,10,13,4,5,3,3,3,3,3,5,6,1
1,7,5,3,3,3,4,6,1,9,10,10,10,11,10,12,10,10,16,1
1,7,3,3,3,4,3,17,1,1,1,1,1,1,1,1,1,1,1,1
